method,seed,nsga_covers_weighted,weighted_covers_nsga
weighted_balanced,261400,0.0,0.0
weighted_water,261400,0.0,0.0
weighted_comfort,261400,0.0,0.020833333333333332
weighted_balanced,261401,0.0,0.0
weighted_water,261401,0.0,0.0
weighted_comfort,261401,0.0,0.0425531914893617
weighted_balanced,261402,0.0,0.0
weighted_water,261402,0.0,0.0
weighted_comfort,261402,0.0,0.02127659574468085
weighted_balanced,261403,0.0,0.0
weighted_water,261403,0.0,0.0
weighted_comfort,261403,0.0,0.06521739130434782
weighted_balanced,261404,0.0,0.0
weighted_water,261404,0.0,0.0
weighted_comfort,261404,0.0,0.021739130434782608
weighted_balanced,261405,0.0,0.0
weighted_water,261405,0.0,0.0
weighted_comfort,261405,0.0,0.02127659574468085
weighted_balanced,261406,0.0,0.0
weighted_water,261406,0.0,0.0
weighted_comfort,261406,0.0,0.0
weighted_balanced,261407,0.0,0.0
weighted_water,261407,0.0,0.0
weighted_comfort,261407,0.0,0.02127659574468085
weighted_balanced,261408,0.0,0.0
weighted_water,261408,0.0,0.0
weighted_comfort,261408,0.0,0.02127659574468085
weighted_balanced,261409,0.0,0.0
weighted_water,261409,0.0,0.0
weighted_comfort,261409,0.0,0.02127659574468085
weighted_balanced,261410,0.0,0.0
weighted_water,261410,0.0,0.0
weighted_comfort,261410,0.0,0.022222222222222223
weighted_balanced,261411,0.0,0.0
weighted_water,261411,0.0,0.0
weighted_comfort,261411,0.0,0.02127659574468085
weighted_balanced,261412,0.0,0.0
weighted_water,261412,0.0,0.0
weighted_comfort,261412,0.0,0.02127659574468085
weighted_balanced,261413,0.0,0.0
weighted_water,261413,0.0,0.0
weighted_comfort,261413,0.0,0.02127659574468085
weighted_balanced,261414,0.0,0.0
weighted_water,261414,0.0,0.0
weighted_comfort,261414,0.0,0.02127659574468085
weighted_balanced,261415,0.0,0.0
weighted_water,261415,0.0,0.0
weighted_comfort,261415,0.0,0.02127659574468085
weighted_balanced,261416,0.0,0.0
weighted_water,261416,0.0,0.0
weighted_comfort,261416,0.0,0.02127659574468085
weighted_balanced,261417,0.0,0.0
weighted_water,261417,0.0,0.0
weighted_comfort,261417,0.0,0.02127659574468085
weighted_balanced,261418,0.0,0.021739130434782608
weighted_water,261418,0.0,0.0
weighted_comfort,261418,0.0,0.0
weighted_balanced,261419,0.0,0.022222222222222223
weighted_water,261419,0.0,0.0
weighted_comfort,261419,0.0,0.06666666666666667
