method,run,generation,best
NSGA_II,0,0,0.38954940330572885
NSGA_II,0,1,0.3757409503353155
NSGA_II,0,2,0.3056338226536695
NSGA_II,0,3,0.2802980886863943
NSGA_II,0,4,0.27253144512374944
NSGA_II,0,5,0.2666348658041463
NSGA_II,0,6,0.25319461946855565
NSGA_II,0,7,0.25319461946855565
NSGA_II,0,8,0.25319461946855565
NSGA_II,0,9,0.2287182643341357
NSGA_II,0,10,0.2287182643341357
NSGA_II,0,11,0.22860961558003692
NSGA_II,0,12,0.22207580921946057
NSGA_II,0,13,0.21519633837848362
NSGA_II,0,14,0.21511191429203858
NSGA_II,0,15,0.21511191429203858
NSGA_II,0,16,0.21511191429203858
NSGA_II,0,17,0.21511191429203858
NSGA_II,0,18,0.21511191429203858
NSGA_II,0,19,0.21511191429203858
NSGA_II,0,20,0.21511191429203858
NSGA_II,0,21,0.21511191429203858
NSGA_II,0,22,0.21511191429203858
NSGA_II,0,23,0.21511191429203858
NSGA_II,0,24,0.21511191429203858
NSGA_II,0,25,0.21511191429203858
NSGA_II,0,26,0.21568182473208405
NSGA_II,0,27,0.21568182473208405
NSGA_II,0,28,0.21568182473208405
NSGA_II,0,29,0.21528948777122753
NSGA_II,0,30,0.21568182473208405
NSGA_II,0,31,0.21568182473208405
NSGA_II,0,32,0.21568182473208405
NSGA_II,0,33,0.21520481743123368
NSGA_II,0,34,0.216562099338385
NSGA_II,0,35,0.216562099338385
NSGA_II,0,36,0.2200049625912118
NSGA_II,0,37,0.2200049625912118
NSGA_II,0,38,0.2200049625912118
NSGA_II,0,39,0.2200049625912118
NSGA_II,0,40,0.2200049625912118
NSGA_II,0,41,0.2200049625912118
NSGA_II,0,42,0.2200049625912118
NSGA_II,0,43,0.2170640538538629
NSGA_II,0,44,0.2200049625912118
NSGA_II,0,45,0.21897686151088647
NSGA_II,0,46,0.21897686151088647
NSGA_II,0,47,0.2200049625912118
NSGA_II,0,48,0.2200049625912118
NSGA_II,0,49,0.2200049625912118
NSGA_II,0,50,0.2200049625912118
NSGA_II,0,51,0.2200049625912118
NSGA_II,0,52,0.2200049625912118
NSGA_II,0,53,0.2200049625912118
NSGA_II,0,54,0.2196853690518855
NSGA_II,0,55,0.2196853690518855
NSGA_II,0,56,0.2196853690518855
NSGA_II,0,57,0.2196853690518855
NSGA_II,0,58,0.2196853690518855
NSGA_II,0,59,0.2196853690518855
NSGA_II,0,60,0.2196853690518855
NSGA_II,0,61,0.2196853690518855
NSGA_II,0,62,0.2196853690518855
NSGA_II,0,63,0.2196853690518855
NSGA_II,1,0,0.38921801036239495
NSGA_II,1,1,0.3595582493349414
NSGA_II,1,2,0.3025332025006876
NSGA_II,1,3,0.28533114624709915
NSGA_II,1,4,0.23941296298153594
NSGA_II,1,5,0.23941296298153594
NSGA_II,1,6,0.23941296298153594
NSGA_II,1,7,0.22280226146739734
NSGA_II,1,8,0.22117539037002243
NSGA_II,1,9,0.22061112340177735
NSGA_II,1,10,0.21778880988043214
NSGA_II,1,11,0.2171723131129201
NSGA_II,1,12,0.21700379058593014
NSGA_II,1,13,0.21687089638603582
NSGA_II,1,14,0.215627069692709
NSGA_II,1,15,0.215627069692709
NSGA_II,1,16,0.215627069692709
NSGA_II,1,17,0.21584434650117193
NSGA_II,1,18,0.2157368184144982
NSGA_II,1,19,0.2157368184144982
NSGA_II,1,20,0.21548597201817507
NSGA_II,1,21,0.21548597201817507
NSGA_II,1,22,0.21548597201817507
NSGA_II,1,23,0.21548597201817507
